"","date","lib","prix"
"336687",2011-07-29,"BIAT",60.7
"336689",2011-08-24,"BIAT",60.71
"336690",2013-12-18,"BIAT",60.73
"336725",2011-07-28,"BIAT",60.9
"336726",2011-08-11,"BIAT",60.9
"336732",2009-12-22,"BIAT",60.9
"336740",2012-10-25,"BIAT",60.98
"336746",2011-02-18,"BIAT",61
"336747",2011-04-01,"BIAT",61
"336748",2011-04-07,"BIAT",61
"336752",2011-08-03,"BIAT",61
"336755",2014-01-02,"BIAT",61
"336756",2014-01-07,"BIAT",61
"336757",2014-01-09,"BIAT",61
"336772",2013-12-23,"BIAT",61
"336773",2013-12-26,"BIAT",61
"336775",2012-10-24,"BIAT",61
"336776",2012-12-10,"BIAT",61
"336777",2012-12-11,"BIAT",61
"336784",2009-12-16,"BIAT",61
"336791",2011-04-04,"BIAT",61.03
"336794",2012-11-29,"BIAT",61.12
"336799",2011-07-26,"BIAT",61.2
"336800",2011-08-12,"BIAT",61.2
"336801",2014-07-02,"BIAT",61.2
"336802",2012-10-10,"BIAT",61.2
"336808",2011-08-17,"BIAT",61.31
"336812",2011-08-23,"BIAT",61.35
"336823",2011-03-29,"BIAT",61.45
"336825",2009-12-11,"BIAT",61.48
"336827",2011-07-21,"BIAT",61.49
"336828",2014-01-08,"BIAT",61.49
"336833",2011-07-20,"BIAT",61.5
"336836",2014-01-06,"BIAT",61.5
"336837",2014-01-24,"BIAT",61.5
"336842",2012-12-07,"BIAT",61.5
"336845",2009-12-23,"BIAT",61.5
"336847",2014-01-27,"BIAT",61.51
"336850",2011-03-22,"BIAT",61.6
"336851",2011-08-08,"BIAT",61.6
"336856",2011-08-22,"BIAT",61.7
"336859",2011-08-16,"BIAT",61.76
"336871",2011-07-22,"BIAT",61.8
"336872",2011-08-10,"BIAT",61.8
"336873",2011-08-19,"BIAT",61.8
"336877",2012-10-29,"BIAT",61.8
"336878",2012-10-30,"BIAT",61.8
"336879",2012-12-17,"BIAT",61.8
"336883",2014-01-10,"BIAT",61.89
"336885",2011-03-28,"BIAT",61.9
"336894",2014-01-15,"BIAT",61.99
"336900",2011-02-21,"BIAT",62
"336901",2011-02-22,"BIAT",62
"336902",2011-03-25,"BIAT",62
"336903",2011-04-05,"BIAT",62
"336907",2011-08-04,"BIAT",62
"336911",2014-01-28,"BIAT",62
"336914",2014-07-16,"BIAT",62
"336915",2013-01-15,"BIAT",62
"336916",2013-01-16,"BIAT",62
"336925",2013-12-17,"BIAT",62
"336927",2012-10-02,"BIAT",62
"336930",2009-12-21,"BIAT",62
"336931",2013-01-11,"BIAT",62.01
"336932",2013-01-17,"BIAT",62.01
"336933",2013-12-12,"BIAT",62.01
"336936",2014-07-18,"BIAT",62.03
"336938",2013-07-30,"BIAT",62.03
"336940",2014-07-21,"BIAT",62.06
"336958",2012-11-27,"BIAT",62.08
"336960",2011-03-24,"BIAT",62.1
"336961",2011-08-18,"BIAT",62.1
"336963",2014-01-29,"BIAT",62.1
"336964",2014-01-30,"BIAT",62.1
"336968",2013-10-04,"BIAT",62.11
"336969",2014-08-11,"BIAT",62.12
"336983",2009-12-24,"BIAT",62.18
"336989",2014-09-12,"BIAT",62.21
"337023",2013-10-10,"BIAT",62.3
"337024",2013-10-11,"BIAT",62.3
"337025",2013-10-18,"BIAT",62.3
"337026",2013-10-21,"BIAT",62.3
"337027",2013-12-11,"BIAT",62.3
"337029",2014-07-23,"BIAT",62.31
"337034",2013-10-09,"BIAT",62.4
"337035",2013-10-22,"BIAT",62.4
"337036",2013-11-06,"BIAT",62.4
"337038",2013-10-23,"BIAT",62.41
"337039",2013-10-24,"BIAT",62.41
"337040",2013-11-07,"BIAT",62.41
"337044",2009-12-25,"BIAT",62.48
"337055",2014-06-26,"BIAT",62.5
"337056",2014-07-09,"BIAT",62.5
"337057",2014-07-10,"BIAT",62.5
"337058",2014-07-11,"BIAT",62.5
"337059",2014-07-14,"BIAT",62.5
"337060",2014-08-15,"BIAT",62.5
"337070",2013-12-02,"BIAT",62.5
"337071",2013-12-10,"BIAT",62.5
"337078",2014-06-27,"BIAT",62.51
"337079",2014-07-01,"BIAT",62.51
"337080",2014-07-07,"BIAT",62.51
"337081",2013-11-08,"BIAT",62.52
"337082",2013-12-05,"BIAT",62.52
"337083",2013-12-06,"BIAT",62.52
"337085",2011-08-25,"BIAT",62.53
"337087",2013-12-09,"BIAT",62.53
"337088",2011-08-05,"BIAT",62.55
"337089",2013-12-04,"BIAT",62.6
"337097",2013-11-11,"BIAT",62.7
"337118",2013-10-31,"BIAT",62.75
"337119",2013-11-01,"BIAT",62.75
"337131",2014-07-22,"BIAT",62.8
"337133",2013-10-30,"BIAT",62.8
"337135",2013-12-13,"BIAT",62.8
"337142",2014-07-15,"BIAT",62.83
"337143",2014-06-18,"BIAT",62.85
"337144",2013-12-16,"BIAT",62.85
"337147",2009-12-28,"BIAT",62.85
"337162",2013-01-10,"BIAT",62.9
"337163",2013-11-13,"BIAT",62.9
"337164",2013-11-15,"BIAT",62.9
"337174",2013-01-08,"BIAT",62.94
"337175",2013-01-09,"BIAT",62.94
"337179",2014-04-30,"BIAT",62.95
"337188",2011-02-17,"BIAT",62.99
"337189",2013-10-25,"BIAT",62.99
"337200",2014-04-29,"BIAT",63
"337202",2014-05-02,"BIAT",63
"337203",2014-05-05,"BIAT",63
"337206",2014-05-06,"BIAT",63
"337214",2014-07-08,"BIAT",63
"337215",2014-08-06,"BIAT",63
"337216",2014-08-12,"BIAT",63
"337217",2014-08-14,"BIAT",63
"337218",2014-08-18,"BIAT",63
"337219",2014-08-19,"BIAT",63
"337220",2014-09-03,"BIAT",63
"337221",2014-09-15,"BIAT",63
"337222",2013-01-07,"BIAT",63
"337223",2013-01-18,"BIAT",63
"337225",2013-07-05,"BIAT",63
"337226",2013-07-29,"BIAT",63
"337227",2013-07-31,"BIAT",63
"337228",2013-09-30,"BIAT",63
"337229",2013-10-01,"BIAT",63
"337230",2013-10-03,"BIAT",63
"337231",2013-10-07,"BIAT",63
"337232",2013-10-08,"BIAT",63
"337233",2013-10-29,"BIAT",63
"337235",2013-11-19,"BIAT",63
"337237",2013-11-22,"BIAT",63
"337238",2013-11-28,"BIAT",63
"337239",2013-11-29,"BIAT",63
"337240",2012-12-20,"BIAT",63
"337250",2014-05-07,"BIAT",63.01
"337253",2014-08-27,"BIAT",63.01
"337254",2013-09-03,"BIAT",63.01
"337255",2013-10-02,"BIAT",63.01
"337256",2012-12-31,"BIAT",63.01
"337260",2014-08-28,"BIAT",63.02
"337261",2014-09-04,"BIAT",63.02
"337262",2014-09-10,"BIAT",63.02
"337263",2013-07-10,"BIAT",63.02
"337264",2013-09-05,"BIAT",63.02
"337265",2013-08-06,"BIAT",63.03
"337266",2013-09-04,"BIAT",63.03
"337277",2013-09-12,"BIAT",63.1
"337280",2013-08-07,"BIAT",63.12
"337286",2014-07-24,"BIAT",63.15
"337287",2014-07-31,"BIAT",63.15
"337288",2014-08-04,"BIAT",63.15
"337292",2013-01-21,"BIAT",63.17
"337296",2014-06-25,"BIAT",63.2
"337297",2014-08-05,"BIAT",63.2
"337300",2013-09-13,"BIAT",63.21
"337301",2013-09-27,"BIAT",63.24
"337302",2013-09-25,"BIAT",63.25
"337303",2013-09-26,"BIAT",63.25
"337309",2014-02-06,"BIAT",63.3
"337310",2011-03-23,"BIAT",63.4
"337313",2014-01-31,"BIAT",63.4
"337314",2014-02-04,"BIAT",63.4
"337316",2012-11-28,"BIAT",63.4
"337317",2012-12-24,"BIAT",63.4
"337319",2014-02-03,"BIAT",63.41
"337320",2014-05-26,"BIAT",63.41
"337321",2013-02-06,"BIAT",63.42
"337342",2013-01-04,"BIAT",63.47
"337344",2012-12-28,"BIAT",63.48
"337346",2014-06-17,"BIAT",63.49
"337347",2013-09-24,"BIAT",63.49
"337348",2012-12-25,"BIAT",63.49
"337361",2014-06-13,"BIAT",63.5
"337362",2014-06-23,"BIAT",63.5
"337363",2014-06-24,"BIAT",63.5
"337364",2014-08-20,"BIAT",63.5
"337365",2014-09-16,"BIAT",63.5
"337366",2013-03-06,"BIAT",63.5
"337367",2013-09-23,"BIAT",63.5
"337368",2013-11-20,"BIAT",63.5
"337369",2013-11-25,"BIAT",63.5
"337370",2012-10-01,"BIAT",63.5
"337371",2012-12-21,"BIAT",63.5
"337372",2012-12-26,"BIAT",63.5
"337373",2012-12-27,"BIAT",63.5
"337387",2014-02-11,"BIAT",63.53
"337388",2013-07-02,"BIAT",63.54
"337414",2013-02-07,"BIAT",63.64
"337425",2012-10-31,"BIAT",63.65
"337426",2012-12-18,"BIAT",63.65
"337431",2013-07-26,"BIAT",63.7
"337436",2014-06-12,"BIAT",63.75
"337444",2014-02-05,"BIAT",63.8
"337446",2013-11-21,"BIAT",63.8
"337447",2013-11-27,"BIAT",63.8
"337461",2011-08-26,"BIAT",63.9
"337466",2014-09-05,"BIAT",63.9
"337467",2013-10-28,"BIAT",63.9
"337468",2013-11-14,"BIAT",63.9
"337469",2013-11-26,"BIAT",63.9
"337486",2014-09-11,"BIAT",63.99
"337487",2013-01-03,"BIAT",63.99
"337488",2013-09-02,"BIAT",63.99
"337507",2014-04-25,"BIAT",64
"337508",2014-05-09,"BIAT",64
"337509",2014-06-10,"BIAT",64
"337512",2014-06-19,"BIAT",64
"337514",2014-06-20,"BIAT",64
"337518",2014-08-21,"BIAT",64
"337519",2014-08-22,"BIAT",64
"337520",2014-08-26,"BIAT",64
"337521",2014-09-08,"BIAT",64
"337522",2013-01-02,"BIAT",64
"337523",2013-02-11,"BIAT",64
